group,LUC,AnimalFeed,Farm,Processing,Transport,Packaging,Retail,
Pain,0.1,0.0,0.8,0.2,0.1,0.1,0.1,
Maïs,0.3,0.0,0.5,0.1,0.1,0.1,0.0,
Orge,0.0,0.0,0.2,0.1,0.0,0.5,0.3,
Avoine,0.0,0.0,1.4,0.0,0.1,0.1,0.0,
Riz,0.0,0.0,3.6,0.1,0.1,0.1,0.1,
Pommes de terre,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Sucre de canne,1.2,0.0,0.5,0.0,0.8,0.1,0.0,
Sucre de betterave,0.0,0.0,0.5,0.2,0.6,0.1,0.0,
Pois,0.0,0.0,0.7,0.0,0.1,0.0,0.0,
Lait de soja,0.2,0.0,0.1,0.2,0.1,0.1,0.3,
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,
Huile de soja,3.1,0.0,1.5,0.3,0.3,0.8,0.0,
Huile de palme,3.1,0.0,2.1,1.3,0.2,0.9,0.0,
Huile de tournesol,0.1,0.0,2.1,0.2,0.2,0.9,0.0,
Huile de colza,0.2,0.0,2.3,0.2,0.2,0.8,0.0,
Huile d'olive,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,
Tomates,0.4,0.0,0.7,0.0,0.2,0.1,0.0,
Oignons,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Légumes-racines,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Agrumes,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,
Bananes,0.0,0.0,0.3,0.1,0.3,0.1,0.0,
Pommes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Baies et raisin,0.0,0.0,0.7,0.0,0.2,0.2,0.0,
Vin,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,
Café,3.7,0.0,10.4,0.6,0.1,1.6,0.1,
Chocolat noir,14.3,0.0,3.7,0.2,0.1,0.4,0.0,
Boeuf (élevage),16.3,1.9,39.4,1.3,0.3,0.2,0.2,
Boeuf (laitier),0.9,2.5,15.7,1.1,0.4,0.3,0.2,
Mouton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,
Cochon,1.5,2.9,1.7,0.3,0.3,0.3,0.2,
Poulet,2.5,1.8,0.7,0.4,0.3,0.2,0.2,
Lait,0.5,0.2,1.5,0.1,0.1,0.1,0.3,
Fromage,4.5,2.3,13.1,0.7,0.1,0.2,0.3,
Oeufs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,
Poisson d'élevage,0.5,0.8,3.6,0.0,0.1,0.1,0.0,
Crevettes d'élevage,0.2,2.5,8.4,0.0,0.2,0.3,0.2,